team	won	los	t min	fgm	fga	3m	3a	ftm	fta	or	tr	as	st	to	bk	pf	pts	tc	ej	ff
AtlantaHawks	44	38	19843	3163	6843	654	1793	1341	1793	882	3571	1901	672	1193	354	1643	8321	17	0	0
BostonCeltics	57	25	19738	3101	6675	539	1553	1517	1993	871	3465	1814	610	1124	372	1564	8258	16	0	0
CharlotteBobcats	39	43	19906	3022	6838	665	1800	1251	1649	785	3551	1718	514	1047	415	1716	7960	22	0	0
ChicagoBulls	34	48	19958	2867	6660	538	1532	1256	1668	876	3383	1604	621	1125	490	1714	7528	32	0	0
ClevelandCavaliers	49	33	19946	3097	6847	765	2083	1365	1803	841	3489	2037	587	1096	461	1599	8324	21	0	0
DallasMavericks	33	49	19849	3096	6673	678	1888	1530	2019	943	3512	1808	635	1259	289	1633	8400	21	0	0
DenverNuggets	46	36	19766	3238	7086	605	1725	1654	2168	930	3595	1843	694	1142	458	1778	8735	16	0	0
DetroitPistons	53	29	19794	3208	6820	683	1872	1487	1967	913	3525	2001	670	1184	403	1699	8586	31	0	0
GSWarriors	31	51	19846	3019	6919	569	1656	1548	2023	879	3549	1683	650	1186	342	1584	8155	28	0	0
HoustonRockets	28	54	19838	3197	7217	666	1887	1395	1844	976	3415	1822	704	1096	460	1993	8455	35	0	0
IndianaPacers	26	56	19802	2850	6785	538	1561	1334	1768	857	3378	1525	593	1085	379	1793	7572	29	0	0
LAClippers	25	57	19770	3068	6958	595	1791	1547	2049	1011	3586	1908	570	1203	285	1919	8278	41	0	0
LALakers	55	27	19717	3439	7348	666	1843	1411	1938	1067	4015	2111	790	1110	387	1578	8955	17	0	0
MemphisGrizzlies	32	50	19818	2924	6500	615	1731	1292	1686	809	3212	1632	591	1119	410	1553	7755	19	0	0
MiamiHeat	28	54	19891	2961	6475	694	1917	1374	1832	886	3306	1751	666	1277	255	1675	7990	20	0	0
MilwaukeeBucks	67	15	19888	3146	6721	697	1827	1511	2011	959	3566	1871	640	1112	413	1690	8500	21	0	0
MinnesotaT-wolves	42	40	19860	3321	7047	663	1820	1244	1645	907	3624	1875	644	1310	457	1936	8549	29	0	0
BrooklynNets	38	44	19884	2980	6509	662	1802	1539	2026	920	3514	1723	608	1235	336	1704	8161	31	0	0
NOrleansPelicans	48	34	19856	3055	6566	652	1827	1637	2176	881	3419	1846	577	1146	504	1664	8399	28	0	0
NYKnicks	45	37	19868	2934	6401	713	1922	1568	2050	843	3443	1618	513	1135	278	1611	8149	27	0	0
OrlandoMagic	59	23	19970	3126	6858	659	1777	1448	1879	859	3604	1847	580	1108	445	1500	8359	18	0	0
Philadelphia76ers	63	19	19867	3284	6975	739	1998	1705	2261	976	3846	2144	737	1332	556	1686	9012	21	0	0
PhoenixSuns	34	48	19764	3118	6840	556	1632	1621	2115	926	3512	1664	613	1205	332	1749	8413	27	0	0
PortlandTrailBlazers	28	54	19867	3248	7201	534	1504	1396	1822	942	3564	1675	639	951	304	1698	8426	24	0	0
SacramentoKings	54	28	19840	3103	6734	696	1833	1577	2139	813	3381	1927	637	1084	458	1897	8479	27	0	0
SanAntonioSpurs	20	62	19774	3096	6976	529	1501	1285	1691	862	3462	1670	628	1089	378	1585	8006	18	0	0
OklahomaCityThunder	23	59	19817	2984	6842	705	1968	1512	2080	900	3356	1785	670	1187	296	1672	8185	31	0	0
TorontoRaptors	34	48	19964	2957	6573	568	1578	1557	2071	854	3359	1719	596	1169	352	1815	8039	34	0	0
UtahJazz	57	25	19789	3138	6638	599	1592	1504	1945	846	3486	1789	617	999	401	1673	8379	15	0	0
WashingtonWizards	38	44	20064	3038	6633	612	1763	1462	1912	828	3460	1824	631	1262	320	1600	8150	12	0	0
