team	won	los	t min	fgm	fga	3m	3a	ftm	fta	or	tr	as	st	to	bk	pf	pts	tc	ej	ff
AtlantaHawks	35	47	19697	3002	6610	528	1496	1385	1800	956	3437	1705	530	1057	354	1681	7917	28	0	0
BostonCeltics	20	62	19846	2763	6418	507	1452	1626	2110	834	3083	1553	585	1136	388	1820	7659	44	0	0
CharlotteBobcats	47	35	19927	2883	6348	558	1526	1457	1928	877	3187	1604	626	1154	490	1714	7781	28	0	0
ChicagoBulls	41	41	19900	3141	6863	486	1400	1633	2077	1017	3508	1723	622	1125	450	1708	8401	20	0	0
ClevelandCavaliers	16	66	19786	2775	6443	482	1448	1459	1895	877	3186	1568	520	1096	337	1664	7491	41	0	0
DallasMavericks	32	50	19816	3071	6752	517	1379	1522	1905	884	3393	1611	589	1015	334	1644	8181	25	0	0
DenverNuggets	28	54	19741	2966	6738	601	1643	1742	2228	990	3382	1756	648	1206	448	1944	8275	25	0	0
DetroitPistons	43	39	19903	2876	6379	435	1228	1580	2039	860	3312	1653	462	919	341	1612	7767	22	0	0
GSWarriors	53	29	19848	3401	7272	582	1531	1828	2346	1165	3859	1980	647	1191	414	1927	9212	20	0	0
HoustonRockets	29	53	19807	2991	6735	464	1298	1296	1730	873	3271	1620	588	975	436	1689	7742	30	0	0
IndianaPacers	46	36	19827	3141	6862	569	1519	1857	2431	909	3616	1731	634	1097	444	1691	8708	28	0	0
LAClippers	63	19	19888	3218	6805	536	1431	1546	2035	962	3615	1951	652	1047	414	1609	8518	13	0	0
LALakers	17	65	19776	3050	6824	586	1700	1454	1931	958	3399	1854	635	1216	392	1816	8140	32	0	0
MemphisGrizzlies	58	24	19792	3018	6377	536	1510	1574	2043	841	3272	1735	632	1141	444	1786	8146	30	0	0
MiamiHeat	39	43	19943	2920	6409	591	1518	1609	2086	894	3430	1646	528	1199	335	1630	8040	22	0	0
MilwaukeeBucks	48	34	19781	2854	6235	562	1486	1961	2480	832	3359	1730	616	1285	376	1842	8231	26	0	0
MinnesotaT-wolves	58	24	19795	3109	6561	536	1420	1668	2145	812	3352	1765	610	995	483	1642	8422	15	0	0
NJNets	48	34	19804	2953	6384	600	1536	1738	2281	872	3394	1793	567	1052	393	1680	8244	26	0	0
NOrleansHornets	33	49	19756	2851	6330	575	1625	1453	1879	824	3282	1649	476	1029	290	1675	7730	34	0	0
NYKnicks	50	32	19807	3378	7038	571	1625	1514	1998	953	3778	1774	654	1140	437	1592	8841	22	0	0
OrlandoMagic	23	59	19736	2936	6783	444	1297	1421	1882	862	3453	1488	564	1022	310	1840	7737	42	0	0
Philadelphia76ers	41	41	19730	2997	6489	585	1594	1402	1792	935	3220	1799	575	1218	398	1786	7981	24	0	0
PhoenixSuns	36	46	19755	3278	7025	626	1635	1634	2108	993	3344	1741	707	1107	368	1877	8816	31	0	0
PortlandTrailBlazers	28	54	19829	2899	6301	487	1301	1430	1780	787	2977	1591	513	1039	320	1733	7715	29	0	0
SacramentoKings	65	17	19909	3281	6792	580	1429	1824	2412	1018	3610	1797	703	1125	422	1737	8966	26	0	0
SanAntonioSpurs	28	54	19912	2973	6568	447	1180	1257	1635	746	3315	1481	531	924	351	1511	7650	26	0	0
OklahomaCityThunder	59	23	19802	3230	6798	524	1441	1468	1930	884	3377	1769	699	1109	406	1656	8452	15	0	0
TorontoRaptors	49	33	19796	3172	6826	629	1715	1379	1759	895	3434	1887	521	1046	385	1645	8352	30	0	0
UtahJazz	34	48	19870	3019	6509	534	1479	1703	2233	910	3302	1640	658	1284	422	1972	8275	34	0	0
WashingtonWizards	63	19	19696	3164	6565	674	1741	1487	1959	935	3425	2015	593	1098	431	1639	8489	18	0	0
