team	won	los	t min	fgm	fga	3m	3a	ftm	fta	or	tr	as	st	to	bk	pf	pts	tc	ej	ff
AtlantaHawks	34	48	19836	3046	7057	679	2010	1366	1810	944	3813	1808	707	1269	410	1500	8137	14	0	0
BostonCeltics	34	48	19785	3073	6973	643	1910	1613	2136	932	3771	1715	622	1295	450	1717	8402	20	0	0
CharlotteHornets	34	48	19865	3098	6971	726	2082	1334	1735	726	3662	1901	555	1071	448	1670	8256	13	0	0
ChicagoBulls	40	42	19936	3234	7333	651	1884	1337	1813	969	3765	1847	656	925	464	1535	8456	10	0	0
ClevelandCavaliers	25	57	19865	3019	6736	647	1865	1378	1855	760	3364	1756	590	1055	362	1690	8063	11	0	0
DallasMavericks	40	42	20009	3144	6971	743	2169	1382	1873	868	3754	1800	617	1099	363	1757	8413	21	0	0
DenverNuggets	49	33	19852	3182	6906	754	2030	1491	1958	801	3501	1924	660	1076	517	1712	8609	15	0	0
DetroitPistons	38	44	19894	3182	6903	596	1681	1351	1727	725	3489	1766	582	1059	367	1773	8311	11	0	0
GSWarriors	9	73	19878	3188	7326	640	1927	1523	2013	936	3597	1822	710	1131	335	1626	8539	15	0	0
HoustonRockets	41	41	19819	3200	6974	796	2199	1525	2018	971	3657	2015	734	1292	404	1842	8721	20	0	0
IndianaPacers	37	45	19892	3065	6964	679	2039	1428	1901	878	3652	1707	634	1247	365	1676	8237	11	0	0
LAClippers	29	53	19804	3006	6929	644	1905	1541	2049	967	3824	1732	579	1203	259	1837	8197	13	0	0
LALakers	65	17	19722	3323	7023	700	2016	1420	1942	897	3810	2022	617	992	455	1572	8766	10	0	0
MemphisGrizzlies	40	42	19857	2947	6459	797	2183	1619	2107	830	3541	1792	577	1268	469	1732	8310	16	0	0
MiamiHeat	34	48	19826	3054	6914	605	1739	1356	1761	803	3383	1657	612	1005	338	1608	8069	7	0	0
MilwaukeeBucks	49	33	19828	3096	6815	764	2167	1506	1961	941	3520	2012	680	1209	460	1600	8462	14	0	0
MinnesotaT-wolves	53	29	19892	3276	6965	742	2091	1394	1842	880	3437	1857	639	1167	426	1768	8688	19	0	0
BrooklynNets	61	21	19762	3344	6982	775	2099	1227	1608	840	3558	2006	720	1109	429	1510	8690	11	0	0
NOrleansPelicans	52	30	19797	3218	6877	754	2039	1544	1972	730	3642	1899	602	1083	423	1630	8734	17	0	0
NYKnicks	50	32	19804	3114	7035	626	1838	1435	1904	888	3622	1702	588	884	343	1520	8289	15	0	0
OrlandoMagic	47	35	19904	3150	6850	732	2038	1470	1971	832	3632	1899	620	1192	448	1496	8502	6	0	0
Philadelphia76ers	72	10	19819	3253	7006	638	1774	1683	2141	914	3902	1919	711	1185	466	1571	8827	9	0	0
PhoenixSuns	59	23	19681	3202	6861	770	2039	1629	2175	814	3581	1833	780	1170	449	1768	8803	14	0	0
PortlandTrailBlazers	38	44	19818	3146	6945	700	1888	1562	2129	868	3584	1770	630	1048	422	1597	8554	20	0	0
SacramentoKings	49	33	19787	3321	7183	839	2293	1448	1900	926	3688	1977	721	1281	436	1798	8929	18	0	0
SanAntonioSpurs	15	67	19712	2928	6708	541	1633	1221	1611	747	3323	1707	591	1172	318	1597	7618	11	0	0
OklahomaCityThunder	27	55	19843	3150	7192	667	1948	1474	1950	924	3296	1767	719	1027	373	1653	8441	27	0	0
TorontoRaptors	26	56	19777	2991	6732	717	1923	1352	1807	782	3342	1780	534	1053	442	1801	8051	20	0	0
UtahJazz	42	40	19966	2920	6549	649	1814	1374	1842	764	3286	1568	652	1092	385	1629	7863	12	0	0
WashingtonWizards	41	41	19783	3170	6868	737	1988	1498	1947	773	3630	1846	662	1277	355	1651	8575	19	0	0
