team	won	los	t min	fgm	fga	3m	3a	ftm	fta	or	tr	as	st	to	bk	pf	pts	tc	ej	ff
AtlantaHawks	29	53	19860	3048	6622	480	1392	1380	1852	922	3393	1721	506	1069	360	1582	7956	19	0	0
BostonCeltics	32	50	19778	2880	6390	470	1375	1606	2152	868	3285	1585	579	1230	384	1777	7836	36	0	0
CharlotteBobcats	38	44	19878	2925	6535	573	1695	1270	1710	868	3250	1666	615	1197	502	1805	7693	29	0	0
ChicagoBulls	41	41	19912	3043	6884	584	1681	1457	1958	914	3502	1715	578	1036	440	1642	8127	15	0	0
ClevelandCavaliers	21	61	19788	2935	6633	524	1511	1444	1907	794	3158	1662	544	991	324	1708	7838	20	0	0
DallasMavericks	27	55	19879	3107	6804	525	1515	1402	1849	921	3512	1659	563	1127	337	1652	8141	27	0	0
DenverNuggets	29	53	19792	3088	6765	523	1498	1695	2207	955	3468	1722	578	1171	436	1943	8394	31	0	0
DetroitPistons	55	27	19783	2965	6171	568	1514	1630	2124	814	3234	1899	549	1122	402	1702	8128	28	0	0
GSWarriors	56	26	19749	3409	7033	567	1514	1832	2390	1100	3943	1979	644	1401	409	1757	9217	24	0	0
HoustonRockets	40	42	19899	3236	6810	489	1345	1464	1917	875	3507	1716	597	1163	532	1839	8425	33	0	0
IndianaPacers	50	32	19700	3113	6875	510	1405	1774	2346	969	3820	1694	654	1160	414	1709	8510	38	0	0
LAClippers	53	29	19685	3193	6791	529	1457	1455	1910	878	3369	1926	686	1013	364	1588	8370	13	0	0
LALakers	25	57	19821	3050	6835	520	1585	1332	1776	912	3455	1793	573	1100	359	1737	7952	28	0	0
MemphisGrizzlies	42	40	19897	3277	6848	572	1618	1402	1858	906	3254	1875	635	1127	501	1840	8528	15	0	0
MiamiHeat	35	47	19878	2813	6408	524	1531	1577	2091	856	3339	1545	517	1125	354	1638	7727	22	0	0
MilwaukeeBucks	36	46	19969	2870	6359	438	1276	1692	2211	791	3512	1581	574	1204	418	1664	7870	33	0	0
MinnesotaT-wolves	67	15	19776	3343	6959	618	1690	1534	1979	916	3557	2104	721	1119	444	1685	8838	16	0	0
NJNets	70	12	19767	3172	6593	468	1278	1511	2021	925	3607	1960	637	1093	420	1647	8323	24	0	0
NOrleansHornets	45	37	19825	3250	6729	539	1517	1383	1841	871	3457	1925	574	1129	367	1597	8422	15	0	0
NYKnicks	53	29	19872	3352	6899	553	1571	1429	1896	959	3682	1722	584	1145	367	1575	8686	17	0	0
OrlandoMagic	23	59	19708	2955	6739	522	1437	1380	1830	800	3281	1551	551	986	288	1819	7812	34	0	0
Philadelphia76ers	55	27	19810	3105	6569	606	1541	1518	1982	888	3359	1810	620	1119	333	1534	8334	19	0	0
PhoenixSuns	28	54	19719	3235	7164	561	1582	1606	2114	1081	3471	1704	646	1022	366	1789	8637	31	0	0
PortlandTrailBlazers	32	50	19849	2950	6352	480	1399	1394	1870	801	3123	1583	485	1051	333	1767	7774	28	0	0
SacramentoKings	57	25	19890	3199	6827	497	1391	1663	2149	909	3448	1683	586	1083	468	1651	8558	19	0	0
SanAntonioSpurs	32	50	19781	3025	6688	412	1200	1433	1896	813	3240	1577	567	990	416	1672	7895	24	0	0
OklahomaCityThunder	32	50	19814	3007	6715	481	1414	1541	2018	935	3333	1619	616	1184	383	1755	8036	23	0	0
TorontoRaptors	42	40	19773	3194	6824	609	1665	1683	2146	933	3386	1889	579	984	360	1730	8680	27	0	0
UtahJazz	29	53	19756	2908	6470	552	1559	1741	2286	836	3211	1628	632	1181	443	1818	8109	17	0	0
WashingtonWizards	56	26	19841	3083	6665	528	1466	1590	2088	935	3463	1772	570	1047	409	1683	8284	13	0	0
