team	won	los	t min	fgm	fga	3m	3a	ftm	fta	or	tr	as	st	to	bk	pf	pts	tc	ej	ff
AtlantaHawks	22	60	19736	2991	6815	720	2112	1262	1651	948	3576	1930	609	1268	402	1613	7964	25	0	0
BostonCeltics	42	40	19880	3125	6944	607	1805	1442	1909	894	3666	1798	584	1195	430	1545	8299	18	0	0
CharlotteHornets	49	33	19915	3019	6861	649	1816	1292	1672	729	3619	1814	502	986	439	1708	7979	32	0	0
ChicagoBulls	32	50	19901	3095	7109	538	1605	1291	1723	963	3561	1657	614	957	443	1736	8019	18	0	0
ClevelandCavaliers	29	53	19793	3120	6854	636	1854	1205	1623	888	3380	1966	644	1039	366	1681	8081	27	0	0
DallasMavericks	32	50	19891	3117	6930	741	2034	1415	1879	1006	3784	1830	600	1272	314	1816	8390	23	0	0
DenverNuggets	52	30	19893	3164	6908	631	1822	1652	2208	899	3697	1894	611	1122	505	1698	8611	24	0	0
DetroitPistons	50	32	19816	3103	6810	635	1787	1312	1699	877	3615	1940	571	1092	391	1584	8153	13	0	0
GSWarriors	15	67	19744	3031	7086	592	1757	1534	2011	966	3656	1717	680	1275	292	1541	8188	25	0	0
HoustonRockets	26	56	19786	3091	6978	605	1878	1451	1932	973	3593	1750	725	1272	438	1728	8238	37	0	0
IndianaPacers	44	38	19875	2949	6781	591	1713	1469	1951	800	3503	1633	617	996	386	1754	7958	26	0	0
LAClippers	26	56	19745	2984	6745	683	1959	1560	2105	868	3517	1904	548	1113	245	1766	8211	32	0	0
LALakers	61	21	19935	3180	6817	697	1922	1577	2118	825	3623	1966	611	1018	396	1589	8634	23	0	0
MemphisGrizzlies	27	55	19921	2954	6684	663	1889	1225	1651	864	3480	1652	604	1198	423	1662	7796	27	0	0
MiamiHeat	45	37	19740	2960	6522	666	1886	1391	1905	894	3362	1748	646	1156	359	1715	7977	29	0	0
MilwaukeeBucks	41	41	19933	2916	6679	676	1974	1478	1991	938	3509	1831	707	1358	392	1646	7986	26	0	0
MinnesotaT-wolves	66	16	19825	3373	6933	697	1897	1294	1704	953	3572	1933	686	1201	450	1751	8737	26	0	0
BrooklynNets	44	38	19936	3150	6913	696	1944	1278	1748	936	3635	1944	643	1070	372	1641	8274	12	0	0
NOrleansPelicans	37	45	19788	3106	6811	536	1604	1329	1751	870	3405	1699	555	966	474	1533	8077	20	0	0
NYKnicks	65	17	19860	3030	6589	693	1822	1542	2030	898	3566	1779	658	1097	353	1564	8295	15	0	0
OrlandoMagic	57	25	19760	3112	6720	682	1853	1410	1878	825	3564	1921	634	1140	441	1467	8316	14	0	0
Philadelphia76ers	64	18	19828	3045	6785	658	1880	1530	2023	940	3793	1942	779	1306	454	1657	8278	14	0	0
PhoenixSuns	43	39	19908	3149	6972	633	1798	1540	2030	951	3717	1734	651	1226	337	1664	8471	26	0	0
PortlandTrailBlazers	31	51	19878	3130	7122	524	1552	1298	1713	902	3656	1669	655	954	297	1534	8082	16	0	0
SacramentoKings	53	29	19828	3235	7087	717	2053	1420	1896	899	3376	1912	710	1025	508	1956	8607	27	0	0
SanAntonioSpurs	27	55	19982	3044	6861	558	1550	1307	1754	812	3455	1699	649	1109	362	1613	7953	26	0	0
OklahomaCityThunder	37	45	19822	3082	7001	681	1984	1492	2003	916	3499	1815	644	1059	374	1674	8337	35	0	0
TorontoRaptors	33	49	19871	3116	6787	634	1829	1410	1923	922	3481	1870	567	1128	413	1668	8276	21	0	0
UtahJazz	44	38	19716	2935	6587	604	1670	1309	1760	811	3217	1594	673	1030	381	1604	7783	23	0	0
WashingtonWizards	36	46	19947	2964	6834	657	1880	1434	1942	821	3419	1628	651	1090	350	1607	8019	14	0	0
