team	won	los	t min	fgm	fga	3m	3a	ftm	fta	or	tr	as	st	to	bk	pf	pts	tc	ej	ff
AtlantaHawks	56	26	19895	3075	6433	436	1189	1768	2372	981	3316	1691	597	1168	418	1855	8354	18	0	0
BostonCeltics	49	33	19888	2944	6462	446	1265	1825	2458	910	3279	1763	688	1140	404	1837	8159	24	0	0
CharlotteBobcats	56	26	19910	3065	6410	458	1285	1683	2283	941	3616	1882	578	1423	441	1928	8271	20	0	0
ChicagoBulls	41	41	19913	2773	6515	501	1428	1921	2472	881	3421	1652	612	1169	419	1883	7968	34	0	0
ClevelandCavaliers	32	50	19848	2949	6483	459	1291	1462	1970	807	3228	1666	540	1037	357	1842	7819	29	0	0
DallasMavericks	22	60	19892	2801	6319	400	1109	1626	2163	935	3144	1433	536	1094	396	1958	7628	21	0	0
DenverNuggets	38	44	19945	3070	6764	530	1467	1538	2089	965	3434	1959	586	1262	435	1911	8208	25	0	0
DetroitPistons	18	64	19839	2915	6451	329	1012	1235	1677	951	3349	1541	480	1091	285	1725	7394	26	0	0
GSWarriors	48	34	19831	3047	6674	469	1333	1624	2187	984	3643	1826	576	1207	407	1919	8187	29	0	0
HoustonRockets	48	34	19840	2708	6310	541	1465	1560	2135	874	3351	1647	582	1034	373	1716	7517	24	0	0
IndianaPacers	41	41	19733	2831	6504	371	1083	1511	2060	968	3384	1520	661	1064	399	1800	7544	33	0	0
LAClippers	35	47	19814	2887	6637	474	1369	1593	2175	858	3289	1765	570	997	354	1778	7841	28	0	0
LALakers	37	45	19864	2945	6547	474	1342	1585	2123	893	3292	1730	537	1102	354	1925	7949	25	0	0
MemphisGrizzlies	33	49	19861	2691	6172	408	1222	1465	1942	927	3331	1605	597	1148	456	1867	7255	30	0	0
MiamiHeat	30	52	19772	2871	6529	486	1344	1642	2223	826	3185	1596	560	997	296	1938	7870	30	0	0
MilwaukeeBucks	42	40	19856	2972	6383	490	1385	1671	2237	832	3307	1847	606	1151	414	1937	8105	20	0	0
MinnesotaT-wolves	49	33	19860	2852	6474	447	1229	1525	2073	974	3385	1554	539	1076	374	1736	7676	33	0	0
NJNets	33	49	19796	2730	6222	465	1336	1654	2232	787	3390	1641	589	1117	329	1890	7579	30	0	0
NOrleansHornets	44	38	19815	2883	6286	546	1486	1530	2014	860	3358	1582	527	1157	434	1910	7842	34	0	0
NYKnicks	59	23	19935	2967	6359	565	1495	1868	2480	883	3163	1744	674	1105	435	2079	8367	42	0	0
OrlandoMagic	46	36	19927	2870	6326	457	1273	1672	2285	912	3164	1644	615	1054	380	1899	7869	23	0	0
Philadelphia76ers	44	38	19901	3100	6699	498	1420	1609	2113	974	3507	1882	629	1200	386	1898	8307	22	0	0
PhoenixSuns	28	54	19970	3243	7140	516	1423	1429	1956	1028	3762	1546	591	1170	282	1622	8431	28	0	0
PortlandTrailBlazers	61	21	19739	3032	6472	498	1306	1498	1971	1029	3486	1737	591	1019	402	1704	8060	17	0	0
SacramentoKings	38	44	19843	3053	6722	462	1315	1412	1891	952	3453	1732	656	1157	403	1886	7980	25	0	0
SanAntonioSpurs	19	63	19810	2782	6420	300	886	1414	1912	886	3303	1336	599	1087	343	1709	7278	32	0	0
SeattleSupersonics	47	35	19845	3202	6596	542	1445	1713	2255	1003	3319	1974	598	1127	399	1820	8659	25	0	0
TorontoRaptors	55	27	19968	3164	6448	508	1363	1696	2267	835	3374	1938	518	1115	358	1834	8532	24	0	0
UtahJazz	41	41	19877	2730	6077	490	1297	1839	2466	871	3108	1511	663	1129	460	2104	7789	24	0	0
WashingtonWizards	40	42	19848	3014	6477	501	1379	1655	2222	964	3441	1766	537	1276	341	2074	8184	30	0	0
