Player	Team	PS	GP	Min	FGM	FGA	3M	3A	FTM	FTA	OR	TR	AS	ST	TO	BK	PF	DQ	PTS	TC	EJ	FF	Sta
"acy,quincy"	nyk	SF	68	1288	152	331	18	60	76	97	79	301	68	27	60	22	147	1	398	5	0	0	22
"adams,jordan"	mem	SG	30	249	35	86	10	25	14	23	9	28	16	16	14	7	24	0	94	0	0	0	0
"adams,steven"	okl	C	70	1776	217	399	0	2	103	205	199	522	65	38	99	85	222	3	537	3	0	0	67
"adrien,jeff"	min	PF	17	215	19	44	0	0	22	38	23	77	15	4	9	9	30	0	60	0	0	0	0
"afflalo,arron"	den	SG	53	1750	281	657	82	243	127	151	21	180	101	32	83	5	108	0	771	0	0	0	53
"afflalo,arron"	por	SG	25	752	94	227	36	90	40	47	6	67	28	9	33	2	59	1	264	0	0	0	19
"afflalo,arron"	tot	SG	78	2502	375	884	118	333	167	198	27	247	129	41	116	7	167	1	1035	0	0	0	72
"ajinca,alexis"	nor	C	68	956	181	328	0	0	81	99	104	315	47	21	69	51	151	0	443	1	0	0	8
"aldemir,furkan"	phi	PF	41	541	40	78	0	5	13	27	78	176	28	17	17	16	96	1	93	0	0	0	10
"aldrich,cole"	nyk	C	61	979	144	301	0	0	50	64	101	338	75	38	59	65	122	1	338	0	0	0	16
"aldridge,lamarcu"	por	PF	71	2514	659	1415	37	105	306	362	177	726	124	48	122	68	125	0	1661	2	0	0	71
"allen,lavoy"	ind	PF	63	1066	142	300	0	0	33	48	124	324	72	15	40	42	102	0	317	0	0	0	0
"allen,tony"	mem	SG	63	1647	225	455	10	29	79	126	103	280	86	128	86	30	166	1	539	5	0	0	41
"aminu,al-farouq"	dal	SF	74	1368	147	357	34	124	84	118	113	341	59	70	55	62	137	0	412	3	0	0	3
"amundson,lou"	cle	PF	12	79	4	12	0	0	3	5	5	20	5	1	5	0	11	0	11	0	0	0	0
"amundson,lou"	nyk	PF	41	858	105	243	0	1	38	82	89	248	65	21	57	52	115	1	248	1	0	0	35
"amundson,lou"	tot	PF	53	937	109	255	0	1	41	87	94	268	70	22	62	52	126	1	259	1	0	0	35
"andersen,chris"	mia	C	60	1131	120	207	4	13	76	114	76	299	43	26	40	61	88	0	320	2	0	0	20
"anderson,alan"	bro	SG	74	1743	194	439	73	210	82	101	31	204	84	56	60	5	148	0	543	2	0	0	19
"anderson,kyle"	san	SG	33	355	31	89	3	11	9	14	5	72	28	15	10	7	28	0	74	0	0	0	8
"anderson,ryan"	nor	PF	61	1677	291	729	122	359	129	151	108	294	56	33	62	20	113	1	833	3	0	0	5
"antetokounmpo,g"	mil	SG	81	2542	383	780	7	44	257	347	100	542	207	73	173	85	254	1	1030	3	0	0	71
"anthony,carmelo"	nyk	SF	40	1430	358	806	61	179	189	237	72	264	122	40	89	17	87	0	966	1	0	0	40
"anthony,joel"	det	C	49	408	36	62	0	0	15	22	32	94	5	12	12	49	55	0	87	0	0	0	0
"antic,pero"	atl	PF	63	1041	108	296	52	173	88	123	58	188	49	18	49	16	130	0	356	3	0	0	3
"ariza,trevor"	hou	SG	82	2936	366	909	194	555	122	143	77	459	209	152	141	17	186	0	1048	4	0	0	82
"arthur,darrell"	den	PF	58	986	155	384	26	110	46	59	53	171	57	48	47	26	146	2	382	3	0	0	4
"asik,omer"	nor	C	77	1979	213	412	0	0	131	225	244	748	74	29	95	54	144	0	557	1	0	0	76
"augustin,d.j."	det	PG	54	1286	189	461	49	150	147	169	13	100	265	33	110	2	61	0	574	1	0	0	13
"augustin,d.j."	okl	PG	28	678	69	186	34	96	31	36	7	61	88	16	35	1	32	0	203	0	0	0	1
"augustin,d.j."	tot	PG	82	1964	258	647	83	246	178	205	20	161	353	49	145	3	93	0	777	1	0	0	14
"ayres,jeff"	san	PF	51	386	55	95	0	0	27	36	37	117	14	8	26	8	60	0	137	1	0	0	0
"babbitt,luke"	nor	SF	63	828	92	192	59	115	13	19	12	111	24	17	26	11	63	0	256	0	0	0	19
"bairstow,cameron"	chi	PF	18	67	3	14	0	0	4	5	6	8	1	2	3	1	8	0	10	0	0	0	1
"barbosa,leandro"	gsw	SG	66	983	183	386	43	112	58	74	23	90	99	41	44	8	87	0	467	0	0	0	1
"barea,j.j."	dal	PG	77	1368	225	536	54	167	76	94	23	134	262	33	70	1	104	0	580	0	0	0	10
"bargnani,andrea"	nyk	C	29	785	164	361	15	41	87	107	32	127	46	2	42	27	53	1	430	0	0	0	22
"barnes,harrison"	gsw	SF	82	2317	316	656	87	215	108	150	117	453	116	61	71	19	146	0	827	0	0	0	82
"barnes,matt"	lac	SF	76	2276	277	624	136	376	74	95	51	302	114	67	87	50	240	2	764	13	0	0	74
"barron,earl"	pho	PF	16	143	12	39	2	4	6	12	14	28	5	4	5	2	26	0	32	0	0	0	1
"barton,will"	den	SF	28	682	112	253	19	67	64	79	23	128	54	34	44	15	50	0	307	1	0	0	0
"barton,will"	por	SG	30	300	38	100	4	18	10	15	3	34	27	14	17	4	20	0	90	0	0	0	0
