Player	Team	PS	GP	Min	FGM	FGA	3M	3A	FTM	FTA	OR	TR	AS	ST	TO	BK	PF	DQ	PTS	TC	EJ	FF	Sta
"appling,keith"	orl	PG	5	27	2	8	0	3	2	2	0	1	1	1	3	0	5	0	6	0	0	0	0
"ariza,trevor"	hou	SF	81	2860	357	858	185	497	126	161	67	366	188	161	113	26	177	0	1025	2	0	0	81
"artest,ron"	lal	SF	35	588	55	177	26	84	40	57	19	89	27	22	15	11	67	1	176	1	0	0	5
"arthur,darrell"	den	PF	70	1517	221	489	45	117	40	53	86	293	96	53	66	48	185	1	527	2	0	0	16
"asik,omer"	nor	C	68	1181	104	196	0	0	61	112	119	413	26	21	60	23	124	0	269	0	0	0	64
"augustin,d.j."	den	PG	28	661	102	229	44	108	77	94	3	52	132	25	54	2	44	0	325	0	0	0	0
"augustin,d.j."	okl	PG	34	521	46	121	24	61	26	34	5	43	66	13	30	2	41	0	142	0	0	0	0
"augustin,d.j."	tot	PG	62	1182	148	350	68	169	103	128	8	95	198	38	84	4	85	0	467	0	0	0	0
"ayres,jeff"	lac	PF	16	95	10	21	0	1	4	4	3	19	3	0	5	0	16	0	24	0	0	0	0
"babbitt,luke"	nor	SF	47	847	122	289	44	109	39	50	25	148	53	11	23	7	90	0	327	1	0	0	13
"bairstow,cameron"	chi	PF	18	103	13	40	1	5	7	8	4	28	6	2	4	3	19	0	34	0	0	0	2
"barbosa,leandro"	gsw	SG	68	1079	171	370	39	111	52	62	28	117	82	44	53	10	107	0	433	1	0	0	0
"barea,j.j."	dal	PG	74	1666	317	710	100	259	74	96	26	152	301	26	113	2	110	0	808	3	0	0	16
"bargnani,andrea"	bro	C	46	634	127	278	3	15	47	57	28	97	18	4	26	9	61	0	304	0	0	0	0
"barnes,harrison"	gsw	SF	66	2043	295	633	82	214	102	134	77	325	117	41	58	10	136	1	774	0	0	0	59
"barnes,matt"	mem	SF	76	2190	264	693	119	370	111	138	84	419	163	78	121	57	234	1	758	4	0	0	45
"barton,will"	den	SG	82	2355	426	984	112	324	216	268	60	477	204	71	139	39	147	0	1180	2	0	0	1
"bass,brandon"	lal	PF	66	1342	174	317	0	2	125	148	104	285	74	33	42	55	125	1	473	0	0	0	0
"batum,nicolas"	cha	SF	70	2453	372	872	139	399	163	192	55	428	403	65	205	43	114	0	1046	1	0	0	70
"bayless,jerryd"	mil	PG	52	1506	185	437	101	230	70	90	21	141	163	47	73	12	111	0	541	1	0	0	18
"baynes,aron"	det	PF	81	1241	194	384	0	2	126	165	140	384	51	21	67	52	151	0	514	0	0	0	1
"bazemore,kent"	atl	SG	75	2077	320	724	109	304	123	151	28	378	171	98	138	38	176	2	872	4	0	0	68
"beal,bradley"	was	SG	55	1709	359	799	105	271	135	176	41	189	161	54	112	11	117	0	958	0	0	0	35
"beasley,michael"	hou	PF	20	360	107	205	3	9	38	49	29	98	16	11	24	9	39	0	255	0	0	0	0
"belinelli,marco"	sac	SF	68	1670	245	635	91	297	115	138	10	117	128	37	80	2	91	0	696	0	0	0	7
"bennett,anthony"	tor	PF	19	85	8	26	3	14	9	10	6	23	0	5	4	0	8	0	28	0	0	0	0
"beverley,patrick"	hou	PG	71	2038	258	594	124	310	60	88	73	251	240	94	91	26	234	1	700	5	0	0	62
"biyombo,bismack"	tor	PF	82	1810	156	288	0	1	142	226	182	655	29	19	71	133	225	2	454	3	0	0	22
"bjelica,nemanja"	min	PF	60	1078	110	235	48	125	40	55	49	210	83	26	47	21	154	1	308	0	0	0	0
"black,tarik"	lal	C	39	495	57	105	0	0	19	45	44	157	16	14	22	18	78	0	133	0	0	0	0
"blair,dejuan"	was	C	29	218	28	68	0	1	5	13	20	57	11	8	15	2	53	1	61	0	0	0	0
"blake,steve"	det	PG	58	987	93	240	52	151	16	20	9	89	200	24	81	5	70	0	254	0	0	0	2
"bledsoe,eric"	pho	PG	31	1058	223	492	48	129	138	172	18	125	190	63	111	19	75	1	632	2	0	0	31
"bogdanovic,bojan"	bro	SG	79	2114	324	749	129	337	110	132	36	255	99	29	115	5	119	0	887	2	0	0	39
"bogut,andrew"	gsw	C	70	1452	175	279	1	1	24	50	121	491	162	32	83	113	221	4	375	0	0	0	66
"bonner,matt"	san	C	30	210	29	58	15	35	3	4	3	27	9	6	3	1	16	0	76	0	0	0	2
"booker,devin"	pho	SG	76	2110	367	867	99	289	215	256	27	187	200	44	160	20	225	5	1048	0	0	0	51
"booker,trevor"	uta	PF	79	1632	190	388	12	41	71	106	166	452	84	59	81	41	169	1	463	1	0	0	2
"bosh,chris"	mia	PF	53	1778	358	767	81	222	213	268	48	390	129	36	78	34	101	0	1010	2	0	0	53
"bradley,avery"	bos	PG	76	2536	456	1018	147	406	96	123	48	220	158	117	109	19	164	2	1155	0	0	0	72
"brand,elton"	phi	PF	17	225	31	72	0	1	8	9	9	63	18	9	11	8	32	0	70	0	0	0	1
"brewer,corey"	hou	SG	82	1670	212	552	61	225	105	140	42	199	109	84	78	19	168	1	590	0	0	0	12
"brooks,aaron"	chi	PG	69	1111	188	470	66	185	49	64	21	101	180	30	82	10	132	0	491	1	0	0	0
"brown,anthony"	lal	SF	29	596	39	126	20	70	17	20	9	70	19	14	15	5	34	0	115	0	0	0	11
"brown,lorenzo"	pho	PG	8	60	8	25	1	8	3	4	0	7	11	3	9	1	4	0	20	0	0	0	0
"brown,markel"	bro	SG	62	989	127	322	38	121	71	94	23	122	91	38	54	15	94	1	363	1	0	0	6
"bryant,kobe"	lal	SG	66	1861	398	1112	133	466	232	281	42	247	184	62	130	13	115	0	1161	1	0	0	66
"budinger,chase"	ind	SF	49	730	81	194	20	69	34	48	31	121	49	29	31	9	46	0	216	0	0	0	2
"budinger,chase"	pho	SF	17	201	23	45	4	17	5	8	12	29	15	3	13	1	16	0	55	0	0	0	0
"budinger,chase"	tot	SF	66	931	104	239	24	86	39	56	43	150	64	32	44	10	62	0	271	0	0	0	2
"bullock,reggie"	det	SF	37	427	43	98	22	53	14	15	14	68	27	10	8	2	29	0	122	0	0	0	0
"burke,trey"	uta	PG	64	1362	262	634	88	256	67	82	18	112	148	35	80	6	86	0	679	0	0	0	0
"burks,alec"	uta	PG	31	798	137	334	32	79	106	141	16	109	63	18	51	4	71	0	412	0	0	0	3
"butler,caron"	sac	SF	17	176	25	59	3	18	10	12	5	22	10	9	3	1	19	0	63	0	0	0	1
"butler,jimmy"	chi	SG	67	2473	470	1034	64	206	395	475	79	359	321	110	132	43	124	1	1399	1	0	0	67
"butler,rasual"	san	SF	46	432	49	105	15	49	11	16	3	56	24	13	8	23	11	0	124	0	0	0	0
"caboclo,bruno"	tor	SF	6	43	1	12	1	7	0	0	1	2	1	2	4	1	2	0	3	0	0	0	1
"calderon,jose"	nyk	PG	72	2021	209	455	84	203	42	48	22	229	298	63	87	7	135	1	544	2	0	0	72
"caldwell-pope,ke"	det	SG	76	2789	403	960	114	368	185	228	70	282	138	110	105	17	167	0	1105	3	0	0	76
"canaan,isaiah"	phi	PG	77	1968	260	722	176	484	150	180	20	174	137	56	91	12	133	0	846	1	0	0	39
"capela,clint"	hou	C	77	1468	231	397	0	1	80	211	194	494	47	59	60	92	190	3	542	0	0	0	35
"carroll,demarre"	tor	SF	26	787	105	270	46	118	30	50	31	121	26	44	29	6	63	0	286	0	0	0	22
"carter,vince"	mem	SG	60	1009	133	343	59	169	70	84	31	146	56	38	35	16	101	0	395	1	0	0	3
"carter-williams,"	mil	PG	54	1649	251	555	15	55	106	162	48	276	279	80	153	41	162	0	623	3	0	0	37
"casspi,omri"	sac	SF	69	1883	300	623	112	274	103	159	58	410	95	56	94	17	154	1	815	4	0	0	21
"cauley-stein,wil"	sac	C	66	1411	191	339	0	2	81	125	134	352	37	48	46	66	146	1	463	0	0	0	39
"chalmers,mario"	mem	PG	55	1258	172	412	45	138	206	249	23	143	211	80	102	12	165	0	595	5	0	0	7
"chalmers,mario"	mia	PG	6	120	10	32	1	11	12	13	1	14	19	8	9	1	16	0	33	0	0	0	0
"chalmers,mario"	tot	PG	61	1378	182	444	46	149	218	262	24	157	230	88	111	13	181	0	628	5	0	0	7
"chandler,tyson"	pho	C	66	1618	183	314	0	1	106	171	175	576	65	36	93	43	145	1	472	3	0	0	60
"christmas,rakeem"	ind	PF	1	6	2	2	0	0	0	0	1	1	0	0	0	0	1	0	4	0	0	0	0
"clark,ian"	gsw	SG	66	579	89	202	30	84	28	34	14	68	64	17	43	13	58	0	236	1	0	0	1
"clarke,coty"	bos	??	4	8	2	4	2	2	0	0	0	1	0	0	1	0	0	0	6	0	0	0	0
"clarkson,jordan"	lal	PG	79	2556	475	1099	111	318	164	204	96	316	192	88	135	7	168	1	1225	0	0	0	79
"cole,norris"	nor	PG	45	1199	196	485	33	103	52	65	10	151	167	37	75	5	102	0	477	0	0	0	23
"collison,darren"	sac	PG	74	2216	377	776	87	217	194	226	28	169	318	76	129	4	142	0	1035	1	0	0	15
"collison,nick"	okl	PF	59	700	50	109	0	2	23	33	68	171	52	15	50	16	107	0	123	1	0	0	4
"conley,mike"	mem	PG	56	1754	294	696	78	215	191	229	26	164	342	67	84	16	100	0	857	0	0	0	56
"connaughton,pat"	por	SG	34	147	13	49	5	21	5	5	11	32	10	2	10	0	6	0	36	0	0	0	0
"copeland,chris"	mil	SF	24	159	17	51	10	36	6	7	1	10	11	2	6	0	17	0	50	0	0	0	1
"cotton,bryce"	mem	PG	5	8	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
"cotton,bryce"	pho	PG	3	33	2	8	0	3	0	0	0	0	3	3	5	0	2	0	4	0	0	0	0
"cotton,bryce"	tot	PG	8	41	4	10	0	3	0	0	0	0	3	3	5	0	2	0	8	0	0	0	0
"cousins,demarcus"	sac	C	65	2245	601	1332	70	210	476	663	158	745	214	101	249	91	236	7	1748	11	0	0	65
"covington,robert"	phi	SF	67	1902	274	712	170	482	140	177	65	419	97	105	143	40	232	4	858	0	0	0	49
"crabbe,allen"	por	SF	81	2111	312	678	112	284	98	113	27	216	99	63	64	16	192	2	834	0	0	0	8
"crawford,jamal"	lac	SG	79	2126	379	940	117	345	245	271	20	145	183	52	113	12	122	0	1120	3	0	0	5
"crowder,jae"	bos	SF	73	2310	359	812	122	363	196	239	70	373	135	126	83	35	198	4	1036	3	0	0	73
"cunningham,dante"	nor	PF	80	1973	186	413	55	174	57	82	57	236	77	42	41	33	173	1	484	0	0	0	46
"cunningham,jared"	cle	SG	40	358	32	91	10	32	30	48	3	29	19	12	18	2	38	0	104	0	0	0	3
"cunningham,jared"	mil	SG	4	56	4	14	2	7	6	7	0	9	1	2	3	0	4	0	16	0	0	0	0
"cunningham,jared"	orl	SG	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cunningham,jared"	tot	SG	45	415	36	105	12	39	36	55	3	38	20	14	21	2	42	0	120	0	0	0	3
"curry,seth"	sac	SG	44	694	102	224	50	111	45	54	9	60	67	22	36	3	41	0	299	0	0	0	9
"curry,stephen"	gsw	PG	79	2705	805	1597	402	887	363	400	68	430	527	169	261	16	161	0	2375	1	0	0	79
"daniels,troy"	cha	SG	43	478	89	187	59	122	5	9	7	57	21	11	24	3	40	0	242	0	0	0	0
"davis,anthony"	nor	PF	61	2159	560	1137	35	108	326	430	130	627	116	78	121	125	148	0	1481	1	0	0	61
"davis,ed"	por	PF	81	1684	206	337	0	0	114	204	224	599	88	57	64	72	202	2	526	2	0	0	0
"dawson,branden"	lac	SF	6	28	2	5	0	0	1	1	2	4	0	0	0	1	2	0	5	0	0	0	0
"dedmon,dewayne"	orl	C	58	709	99	177	0	0	57	76	67	228	13	22	32	46	109	2	255	0	0	0	20
"dejean-jones,bry"	nor	SG	11	271	27	67	11	30	11	21	8	44	15	10	11	2	16	0	76	0	0	0	11
"dekker,sam"	hou	SF	3	7	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
"dellavedova,matt"	cle	PG	76	1869	207	511	98	239	57	66	33	162	336	44	117	9	177	0	569	0	0	0	14
"deng,luol"	mia	SF	74	2395	339	747	88	256	145	192	108	442	140	74	80	29	122	0	911	2	0	0	73
"derozan,demar"	tor	SG	78	2804	614	1377	47	139	555	653	64	349	314	82	174	21	167	0	1830	2	0	0	78
"diaw,boris"	san	C	76	1383	202	383	25	69	56	76	58	232	176	26	97	21	102	0	485	0	0	0	4
"dieng,gorgui"	min	C	82	2222	308	578	6	20	205	248	156	584	143	94	140	96	219	0	827	1	0	0	39
"dinwiddie,spence"	det	PG	12	159	19	53	1	10	19	33	4	17	22	3	7	0	20	0	58	0	0	0	0
"douglas,toney"	nor	PG	61	1264	184	446	81	203	84	99	25	143	155	70	64	5	131	1	533	1	0	0	18
"dragic,goran"	mia	SG	72	2362	417	875	64	205	120	165	54	277	419	71	185	17	188	1	1018	1	0	0	72
"drummond,andre"	det	C	81	2664	552	1061	2	6	208	586	395	1198	67	119	154	112	245	2	1314	7	0	0	81
"dudley,jared"	was	SG	81	2098	233	487	100	239	72	98	54	286	170	75	80	18	190	1	638	1	0	0	41
"dukan,duje"	sac	PF	1	24	2	10	2	5	0	0	2	4	1	1	0	0	2	0	6	0	0	0	0
"duncan,tim"	san	PF	61	1535	215	442	0	2	92	131	116	448	163	47	90	80	125	0	522	0	0	0	60
"dunleavy,mike"	chi	SG	31	702	77	188	39	99	29	37	8	83	39	14	26	10	66	0	222	0	0	0	30
"durant,kevin"	okl	SF	72	2577	698	1381	186	480	447	498	46	590	360	68	250	85	137	1	2029	6	0	0	72
"early,cleanthony"	nyk	SF	17	155	12	40	4	15	3	4	4	26	6	2	9	3	16	1	31	0	0	0	2
"eddie,jarell"	was	SG	26	147	20	65	15	47	8	8	2	23	5	5	1	1	5	0	63	0	0	0	0
"ellington,wayne"	bro	SG	76	1614	218	561	96	268	54	63	20	174	82	48	45	5	82	0	586	0	0	0	41
"ellis,monta"	ind	PG	81	2733	436	1021	87	281	162	206	42	272	382	149	203	38	174	0	1121	1	0	0	81
"ennis,james"	mem	SF	10	40	4	13	2	8	6	10	4	7	2	4	2	2	1	0	16	0	0	0	0
"ennis,james"	mia	SF	3	6	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
"ennis,james"	nor	SF	9	283	50	100	24	50	19	24	17	35	18	12	17	3	26	1	143	0	0	0	5
"ennis,james"	tot	SF	22	329	54	113	26	58	25	34	21	42	21	16	19	5	28	1	159	0	0	0	5
"ennis,tyler"	mil	PG	46	657	84	187	13	39	25	34	13	75	96	25	46	1	64	0	206	0	0	0	7
"evans,jeremy"	dal	SF	30	251	26	48	4	16	15	21	11	54	2	6	7	9	19	0	71	0	0	0	2
"evans,tyreke"	nor	SG	25	765	136	313	33	85	74	93	20	129	164	32	73	8	66	0	379	2	0	0	25
"ezeli,festus"	gsw	C	46	769	125	228	0	0	70	132	94	260	32	18	38	50	94	1	320	0	0	0	13
"faried,kenneth"	den	PF	67	1697	349	626	1	2	136	222	235	581	79	32	91	60	169	0	835	4	0	0	64
"farmar,jordan"	mem	PG	12	291	42	100	16	45	10	10	4	25	37	15	18	2	22	0	110	0	0	0	10
"favors,derrick"	uta	PF	62	1987	418	811	0	4	180	254	169	503	94	74	104	91	150	0	1016	1	0	0	59
"felicio,cristian"	chi	PF	31	318	40	72	0	4	25	35	30	102	26	6	13	13	31	0	105	0	0	0	4
"felton,raymond"	dal	PG	80	2190	277	682	60	213	149	176	36	258	284	68	121	15	141	0	763	3	0	0	31
"fournier,evan"	orl	SF	79	2568	429	929	156	389	199	238	33	225	213	96	133	2	214	4	1213	1	0	0	71
"foye,randy"	den	SG	54	1068	117	333	50	169	39	47	16	105	111	26	58	16	83	0	323	0	0	0	7
"foye,randy"	okl	SG	27	572	51	148	25	81	22	27	8	51	49	13	28	13	48	0	149	0	0	0	1
"foye,randy"	tot	SG	81	1640	168	481	75	250	61	74	24	156	160	39	86	29	131	0	472	0	0	0	8
"frazier,tim"	nor	PG	15	443	70	159	13	29	43	57	15	68	111	22	38	1	40	0	196	0	0	0	1
"frazier,tim"	por	PG	35	275	20	61	3	17	8	15	11	39	42	10	27	1	31	0	51	0	0	0	1
"frazier,tim"	tot	PG	50	718	90	220	16	46	51	72	26	107	153	32	65	2	71	0	247	0	0	0	2
"fredette,jimmer"	nor	PG	4	12	1	4	0	1	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0
"fredette,jimmer"	nyk	PG	2	5	1	1	1	1	4	5	0	0	0	0	1	0	1	0	7	0	0	0	0
"fredette,jimmer"	tot	PG	6	17	2	5	1	2	4	5	0	0	0	1	2	0	2	0	9	0	0	0	0
"frye,channing"	cle	PF	26	445	70	160	43	114	11	14	12	93	26	8	13	8	56	0	194	0	0	0	3
"frye,channing"	orl	PF	44	751	81	187	48	123	19	21	23	141	45	21	30	20	71	0	229	3	0	0	29
"frye,channing"	tot	PF	70	1196	151	347	91	237	30	35	35	234	71	29	43	28	127	0	423	3	0	0	32
"gallinari,danilo"	den	SF	53	1837	287	700	87	241	375	432	51	280	134	42	77	19	87	1	1036	1	0	0	53
"galloway,langsto"	nyk	PG	82	2032	231	588	77	224	86	114	43	288	207	77	61	22	177	2	625	0	0	0	7
"garnett,kevin"	min	PF	39	559	54	115	0	1	14	21	15	150	62	28	16	10	70	0	122	6	0	0	38
"gasol,marc"	mem	C	52	1792	328	707	2	3	203	245	58	362	196	50	118	70	141	0	861	4	0	0	52
"gasol,pau"	chi	PF	72	2296	467	995	24	69	229	289	155	792	294	42	164	146	148	1	1187	0	0	0	72
"gay,rudy"	sac	SF	70	2383	466	1007	74	215	198	254	103	455	120	100	139	51	184	1	1204	1	0	0	70
"gee,alonzo"	nor	SF	73	1633	131	254	17	61	44	66	60	245	73	63	55	13	169	2	323	1	0	0	38
"george,paul"	ind	SF	81	2828	605	1448	210	565	454	528	79	563	329	152	265	29	230	1	1874	6	0	0	81
"gibson,taj"	chi	PF	73	1935	263	501	0	3	101	146	206	504	106	47	78	77	180	1	627	2	0	0	55
"ginobili,manu"	san	SG	58	1137	197	435	70	179	91	112	26	146	177	66	99	11	99	0	555	0	0	0	0
"gobert,rudy"	uta	C	61	1930	198	354	0	0	161	283	208	668	89	45	114	130	163	2	557	4	0	0	60
"gooden,drew"	was	PF	30	304	33	103	7	41	9	14	28	85	13	8	13	11	40	0	82	0	0	0	0
"goodwin,archie"	pho	SG	57	1113	176	422	23	99	130	193	27	142	117	27	100	13	84	0	505	2	0	0	13
"gordon,aaron"	orl	PF	78	1861	274	580	42	141	129	193	154	507	125	59	66	55	153	1	719	0	0	0	37
"gordon,eric"	nor	SG	45	1481	231	551	113	293	111	125	10	99	121	43	73	14	98	0	686	0	0	0	44
"gortat,marcin"	was	C	75	2255	433	764	0	1	146	207	221	740	106	47	121	95	193	1	1012	3	0	0	74
"goudelock,andre"	hou	PG	8	51	9	20	1	9	3	4	1	2	4	6	7	2	4	0	22	0	0	0	0
"grant,jerami"	phi	SF	77	2068	251	599	35	146	212	322	99	361	134	54	110	127	215	1	749	2	0	0	52
"grant,jerian"	nyk	PG	76	1241	148	382	22	99	94	121	23	140	173	48	85	10	95	0	412	0	0	0	6
"green,danny"	san	SG	79	2062	210	559	116	349	34	46	47	302	141	79	75	64	141	0	570	0	0	0	79
"green,draymond"	gsw	SF	81	2807	401	819	100	258	229	329	130	765	597	118	259	111	240	2	1131	11	0	0	81
"green,erick"	den	PG	3	7	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
"green,erick"	uta	PG	6	35	5	12	1	4	2	2	3	5	2	1	0	0	4	0	13	0	0	0	0
"green,erick"	tot	PG	9	42	5	13	1	5	2	2	3	6	3	1	0	0	4	0	13	0	0	0	0
"green,gerald"	mia	SG	69	1557	230	587	84	260	72	93	25	163	56	37	46	19	123	1	616	2	0	0	14
"green,jamychal"	mem	PF	78	1443	230	495	15	45	103	137	139	373	67	46	83	33	189	1	578	4	0	0	16
"green,jeff"	lac	SF	27	712	114	267	25	77	40	65	19	91	40	18	24	21	62	0	293	0	0	0	10
"green,jeff"	mem	SF	53	1546	240	557	42	136	124	155	55	241	98	40	69	19	102	0	646	0	0	0	31
"green,jeff"	tot	SF	80	2258	354	824	67	213	164	220	74	332	138	58	93	40	164	0	939	0	0	0	41
"griffin,blake"	lac	PF	35	1171	301	604	6	18	141	194	52	294	170	28	83	17	95	0	749	7	0	0	35
"gutierrez,jorge"	cha	PG	12	64	6	11	0	2	10	11	0	7	17	3	6	0	3	0	22	0	0	0	0
"hairston,p.j."	cha	SG	48	937	99	276	54	172	34	42	18	128	30	24	24	7	106	0	286	1	0	0	43
"hairston,p.j."	mem	PF	18	376	46	132	16	69	16	22	7	46	9	8	17	4	31	0	124	0	0	0	9
"hairston,p.j."	tot	PF	66	1313	145	408	70	241	50	64	25	174	39	32	41	11	137	0	410	1	0	0	52
"hamilton,jordan"	nor	SG	11	305	49	116	13	45	14	21	12	62	25	8	17	3	24	0	125	0	0	0	4
"hansbrough,tyler"	cha	PF	44	346	32	71	2	3	38	65	40	89	8	12	12	7	55	1	104	0	0	0	0
"hardaway,timjr"	atl	SG	51	863	114	264	48	141	50	56	7	85	51	21	23	7	48	0	326	0	0	0	1
"harden,james"	hou	SG	82	3121	710	1617	236	656	720	837	63	502	612	138	374	51	229	1	2376	2	0	0	82
"harkless,maurice"	por	SF	78	1454	195	411	39	140	69	111	101	280	67	49	62	35	124	0	498	1	0	0	14
"harper,justin"	det	PF	5	35	4	10	4	9	1	2	0	1	0	1	2	0	3	0	13	0	0	0	0
"harrell,montrez"	hou	PF	39	378	58	90	0	1	24	46	26	66	17	11	17	11	48	0	140	3	0	0	1
"harris,devin"	dal	PG	64	1277	167	374	52	158	101	140	18	138	118	60	66	13	124	1	487	0	0	0	0
"harris,gary"	den	SG	76	2441	359	765	105	297	109	133	54	220	147	97	98	18	143	0	932	0	0	0	76
"harris,joe"	cle	SG	5	15	1	4	1	4	0	0	0	3	2	0	1	0	1	0	3	0	0	0	0
"harris,tobias"	det	PF	27	903	166	348	33	87	82	90	25	168	70	18	30	12	62	0	447	0	0	0	25
"harris,tobias"	orl	SF	49	1612	251	541	47	151	120	153	72	343	100	47	78	28	91	0	669	1	0	0	49
"harris,tobias"	tot	SF	76	2515	417	889	80	238	202	243	97	511	170	65	108	40	153	0	1116	1	0	0	74
"harrison,aaron"	cha	SG	21	96	5	19	3	10	5	12	4	15	2	6	4	0	10	0	18	0	0	0	0
"haslem,udonis"	mia	PF	37	259	23	61	1	9	12	16	10	75	14	5	5	2	25	0	59	0	0	0	0
"hawes,spencer"	cha	PF	57	1032	124	306	38	102	54	65	51	244	109	22	59	27	111	2	340	3	0	0	6
"hayes,chuck"	hou	PF	2	24	1	2	0	0	2	2	0	8	2	0	3	0	6	0	4	0	0	0	0
"hayward,gordon"	uta	SG	80	2889	521	1202	143	410	393	477	61	397	296	95	202	27	183	0	1578	0	0	0	80
"henderson,gerald"	por	SG	72	1434	232	529	48	137	112	146	31	212	75	39	68	19	87	0	624	2	0	0	0
"henson,john"	mil	PF	57	959	164	291	0	1	69	117	87	221	54	18	64	109	131	1	397	1	0	0	1
"hezonja,mario"	orl	SF	79	1412	181	418	67	192	49	54	28	176	109	39	97	17	124	1	478	0	0	0	9
"hibbert,roy"	lal	C	81	1881	182	411	0	2	117	145	131	398	95	32	76	110	252	3	481	2	0	0	81
"hickson,j.j."	den	PF	20	307	55	109	0	0	27	59	22	87	16	10	16	12	35	0	137	1	0	0	9
"hickson,j.j."	was	PF	15	131	25	46	0	1	19	44	17	45	7	5	9	2	12	0	69	0	0	0	0
"hickson,j.j."	tot	PF	35	438	80	155	0	1	46	103	39	132	23	15	25	14	47	0	206	1	0	0	9
"hilario,nene"	was	PF	57	1097	209	384	0	3	107	185	52	259	97	54	76	26	156	1	525	2	0	0	11
"hill,george"	ind	PG	74	2526	326	740	128	314	114	150	58	298	260	83	101	17	149	0	894	2	0	0	73
"hill,jordan"	ind	C	73	1509	278	548	0	1	89	125	156	451	87	36	92	37	155	0	645	0	0	0	11
"hill,solomon"	ind	SF	59	869	93	208	24	73	36	42	39	166	57	37	33	11	68	0	246	1	0	0	3
"hilliard,darrun"	det	SG	38	386	52	132	19	50	29	40	5	45	26	9	19	1	28	0	152	0	0	0	2
"hinrich,kirk"	atl	PG	11	75	2	11	1	6	0	0	1	12	14	2	3	1	1	0	5	0	0	0	0
"hinrich,kirk"	chi	SG	35	555	47	118	23	56	15	16	7	58	59	13	27	1	63	1	132	1	0	0	7
"hinrich,kirk"	tot	SG	46	630	49	129	24	62	15	16	8	70	73	15	30	2	64	1	137	1	0	0	7
"holiday,jrue"	nor	PG	65	1829	410	935	87	259	182	216	27	195	391	88	167	22	148	1	1089	1	0	0	23
