Player	Team	PS	GP	Min	FGM	FGA	3M	3A	FTM	FTA	OR	TR	AS	ST	TO	BK	PF	DQ	PTS	TC	EJ	FF	Sta
"acy,quincy"	sac	SF	59	877	119	214	19	49	50	68	65	188	27	29	27	24	103	0	307	3	0	0	29
"adams,jordan"	mem	SG	2	15	2	6	0	1	3	5	0	2	3	3	2	0	2	0	7	0	0	0	0
"adams,steven"	okl	C	80	2019	261	426	0	0	114	196	218	531	61	42	84	89	223	2	636	2	0	0	80
"afflalo,arron"	nyk	SG	71	2359	354	799	91	238	110	131	23	266	145	25	82	10	142	1	909	1	0	0	57
"ajinca,alexis"	nor	C	59	863	150	314	0	1	52	62	75	269	32	19	54	36	134	0	352	2	0	0	17
"aldrich,cole"	lac	C	60	802	134	225	0	0	60	84	86	288	50	47	64	68	139	1	328	0	0	0	5
"aldridge,lamarcu"	san	PF	74	2260	536	1045	0	16	259	302	175	631	110	38	99	81	151	0	1331	0	0	0	74
"alexander,cliff"	por	PF	9	37	5	10	0	0	0	0	2	6	0	1	1	2	1	0	10	0	0	0	0
"allen,lavoy"	ind	PF	79	1601	191	370	0	0	46	73	162	424	76	26	69	42	147	1	428	0	0	0	28
"allen,tony"	mem	SG	64	1622	215	469	15	42	90	138	104	297	70	109	78	18	175	1	535	1	0	0	56
"aminu,al-farouq"	por	SF	82	2342	299	719	126	349	115	156	98	498	138	72	120	53	171	0	839	3	0	0	82
"amundson,lou"	nyk	PF	29	199	19	52	0	0	14	27	23	49	12	6	15	7	44	1	52	1	0	0	0
"andersen,chris"	mem	C	20	368	34	62	2	9	22	32	33	89	9	14	7	10	25	0	92	0	0	0	14
"andersen,chris"	mia	PF	7	36	4	10	2	5	3	4	3	9	3	1	2	3	4	0	13	0	0	0	1
"andersen,chris"	tot	PF	27	404	38	72	4	14	25	36	36	98	12	15	9	13	29	0	105	0	0	0	15
"anderson,alan"	was	SG	13	193	21	59	12	37	11	15	1	27	14	4	2	1	25	0	65	0	0	0	0
"anderson,james"	sac	SG	51	721	67	178	23	86	22	29	13	86	41	21	42	14	54	0	179	0	0	0	15
"anderson,justin"	dal	SG	55	644	71	176	22	83	44	55	19	133	29	19	24	25	45	0	208	0	0	0	9
"anderson,kyle"	san	SF	78	1247	138	296	12	37	62	83	25	245	123	60	59	29	97	0	350	0	0	0	11
"anderson,ryan"	nor	PF	66	2011	397	928	131	357	199	228	132	397	74	38	90	25	109	0	1124	3	0	0	7
"antetokounmpo,gi"	mil	SF	80	2825	513	1012	28	110	296	409	112	613	347	94	208	113	258	7	1350	1	0	0	79
"antetokounmpo,th"	nyk	SF	3	7	3	4	0	1	0	0	0	1	0	0	0	0	2	0	6	0	0	0	0
"anthony,carmelo"	nyk	SF	72	2529	567	1307	105	310	334	403	98	557	299	62	176	38	180	1	1573	4	0	0	72
"anthony,joel"	det	C	19	95	6	10	0	0	6	8	8	21	1	2	2	12	15	0	18	0	0	0	0
