team	won	los	t min	fgm	fga	3m	3a	ftm	fta	or	tr	as	st	to	bk	pf	pts	tc	ej	ff
AtlantaHawks	26	40	16162	2380	5365	391	1137	997	1324	712	2791	1353	494	952	314	1263	6148	18	0	0
BostonCeltics	27	39	15956	2207	5260	344	1117	1138	1498	779	2849	1233	515	969	304	1217	5896	38	0	0
CharlotteBobcats	59	7	15901	2568	5411	406	1142	1115	1486	778	2971	1537	499	860	378	1341	6657	30	0	0
ChicagoBulls	16	50	15940	2284	5420	305	939	946	1279	750	2639	1245	490	828	343	1166	5819	21	0	0
ClevelandCavaliers	45	21	15976	2536	5430	448	1237	1095	1464	751	2824	1527	524	882	408	1381	6615	16	0	0
DallasMavericks	30	36	16066	2347	5388	473	1368	1092	1456	725	2898	1351	561	922	265	1213	6259	27	0	0
DenverNuggets	28	38	16055	2541	5568	571	1488	1029	1356	731	2659	1528	523	986	440	1452	6682	20	0	0
DetroitPistons	41	25	15973	2378	5147	395	1114	1162	1518	704	2688	1485	563	908	348	1283	6313	17	0	0
GSWarriors	43	23	15927	2461	5430	468	1281	1288	1725	869	3026	1527	499	947	328	1095	6678	19	0	0
HoustonRockets	32	34	16076	2474	5427	369	1136	1142	1490	730	2757	1321	495	930	340	1215	6459	14	0	0
IndianaPacers	24	42	16002	2305	5304	442	1259	1179	1617	794	2791	1292	435	949	396	1428	6231	36	0	0
LAClippers	26	40	15972	2279	5099	460	1261	1251	1678	713	2627	1368	396	927	296	1401	6269	41	0	0
LALakers	25	41	16079	2492	5703	443	1274	901	1215	758	2704	1446	556	722	302	1332	6328	26	0	0
MemphisGrizzlies	25	41	15949	2278	5132	417	1209	1163	1522	730	2683	1274	518	1078	363	1275	6136	20	0	0
MiamiHeat	20	46	16042	2285	5266	479	1318	1056	1457	727	2624	1297	549	1044	280	1356	6105	23	0	0
MilwaukeeBucks	35	31	15877	2449	5453	438	1247	1181	1535	813	2951	1433	499	1019	297	1278	6517	28	0	0
MinnesotaT-wolves	40	26	15947	2572	5656	406	1195	1059	1402	771	2867	1422	549	851	377	1435	6609	22	0	0
NJNets	44	22	15892	2501	5294	431	1151	1106	1494	780	2811	1539	526	911	328	1274	6539	24	0	0
NOrleansHornets	45	21	15941	2305	5189	425	1342	1129	1487	732	2640	1379	524	874	378	1235	6164	18	0	0
NYKnicks	30	36	15968	2316	5238	444	1239	1171	1590	717	2762	1248	536	1068	334	1437	6247	28	0	0
OrlandoMagic	29	37	15976	2372	5286	414	1192	1005	1302	666	2727	1350	496	840	273	1308	6163	13	0	0
Philadelphia76ers	31	35	15913	2263	5302	357	1070	1017	1352	706	2887	1293	391	872	316	1070	5900	9	0	0
PhoenixSuns	33	33	15850	2505	5508	398	1131	1100	1444	802	2865	1416	526	893	288	1293	6508	22	0	0
PortlandTrailBlazers	38	28	15976	2476	5349	442	1217	1062	1421	730	2792	1392	499	933	314	1306	6456	14	0	0
SacramentoKings	44	22	15922	2668	5609	439	1236	1118	1468	815	2965	1571	520	975	420	1313	6893	23	0	0
SanAntonioSpurs	16	50	15954	2512	5560	412	1166	932	1233	680	2719	1291	489	869	330	1244	6368	19	0	0
OklahomaCityThunder	19	47	16002	2405	5629	421	1232	1167	1519	835	2724	1311	542	894	321	1322	6398	31	0	0
TorontoRaptors	43	23	15969	2234	5130	401	1224	1335	1795	677	2674	1327	478	830	322	1214	6204	19	0	0
UtahJazz	30	36	16159	2403	5310	428	1259	1302	1727	728	2716	1355	494	932	374	1366	6536	33	0	0
WashingtonWizards	46	20	15874	2422	5352	426	1216	1227	1618	811	2873	1420	520	960	299	1231	6497	21	0	0
