team	won	los	t min	fgm	fga	3m	3a	ftm	fta	or	tr	as	st	to	bk	pf	pts	tc	ej	ff
AtlantaHawks	52	30	19884	2953	6335	465	1236	1699	2315	948	3317	1732	598	1195	423	1853	8070	23	0	0
BostonCeltics	58	24	19883	2966	6338	429	1212	1776	2376	850	3325	1811	604	1195	448	1756	8137	27	0	0
CharlotteBobcats	49	33	20002	2999	6450	452	1246	1802	2403	929	3491	1717	602	1248	439	1785	8252	35	0	0
ChicagoBulls	33	49	19783	2792	6415	483	1386	1619	2219	897	3353	1675	614	1365	433	1900	7686	31	0	0
ClevelandCavaliers	32	50	19896	2838	6337	405	1231	1539	2096	807	3268	1650	540	1201	348	1804	7620	27	0	0
DallasMavericks	15	67	19722	2779	6223	377	1076	1649	2210	841	3129	1463	562	1131	313	1825	7584	33	0	0
DenverNuggets	37	45	19779	3257	7083	554	1569	1438	1945	1005	3466	2014	680	1281	424	1946	8506	30	0	0
DetroitPistons	29	53	19917	2819	6337	409	1205	1484	2006	972	3375	1647	521	1143	290	1667	7531	28	0	0
GSWarriors	40	42	19763	3171	6870	609	1664	1814	2419	1074	3803	2023	679	1467	399	1832	8765	29	0	0
HoustonRockets	30	52	19863	2793	6504	472	1346	1497	2000	800	3348	1589	571	1117	353	1631	7555	27	0	0
IndianaPacers	47	35	19788	2931	6415	437	1174	1741	2311	915	3412	1642	643	1227	410	1942	8040	33	0	0
LAClippers	42	40	19741	2912	6436	455	1340	1602	2142	843	3220	1722	582	1075	321	1829	7881	30	0	0
LALakers	40	42	20034	3097	6718	523	1462	1763	2319	954	3462	1798	649	1167	410	1916	8480	31	0	0
MemphisGrizzlies	60	22	20001	3287	6763	576	1480	1603	2113	967	3450	2063	682	1210	449	1992	8753	29	0	0
MiamiHeat	38	44	19867	2895	6517	531	1495	1513	2039	921	3388	1656	559	1119	314	1790	7834	31	0	0
MilwaukeeBucks	54	28	19852	3201	6673	565	1537	1564	2109	1062	3531	2075	615	1239	433	1718	8531	35	0	0
MinnesotaT-wolves	50	32	20001	3075	6689	518	1487	1510	1987	958	3395	1782	583	1117	360	1679	8178	32	0	0
NJNets	41	41	19916	2911	6476	519	1454	1723	2261	868	3393	1806	586	1135	368	1884	8064	22	0	0
NOrleansHornets	43	39	19884	2999	6570	559	1575	1395	1839	854	3342	1701	554	1076	391	1729	7952	17	0	0
NYKnicks	49	33	20019	3021	6566	573	1523	1613	2136	885	3182	1748	616	1093	407	1874	8228	25	0	0
OrlandoMagic	42	40	19787	2739	6190	461	1306	1768	2327	864	3080	1609	678	1161	376	1920	7707	37	0	0
Philadelphia76ers	47	35	19882	3034	6563	502	1423	1449	1921	964	3366	1824	606	1226	318	1801	8019	14	0	0
PhoenixSuns	21	61	19903	3238	7084	504	1384	1458	1902	1008	3512	1547	566	1198	304	1757	8438	29	0	0
PortlandTrailBlazers	50	32	19930	2960	6287	464	1285	1679	2157	854	3194	1703	537	1092	381	1759	8063	25	0	0
SacramentoKings	49	33	19814	3147	6671	557	1524	1600	2115	907	3555	1840	572	1294	404	1990	8451	24	0	0
SanAntonioSpurs	24	58	19781	2860	6462	368	1100	1300	1756	828	3207	1416	578	1128	335	1739	7388	38	0	0
SeattleSupersonics	51	31	19797	3126	6563	519	1436	1596	2124	954	3362	1870	590	1173	341	1635	8367	21	0	0
TorontoRaptors	35	47	19750	3051	6593	533	1491	1441	1911	848	3489	1744	489	1193	315	1786	8076	18	0	0
UtahJazz	31	51	19813	2819	6191	506	1424	1943	2534	813	3036	1552	623	1202	438	2010	8087	36	0	0
WashingtonWizards	41	41	19847	3166	6700	598	1585	1668	2143	973	3524	1941	519	1242	381	1927	8598	31	0	0
