Player	Team	PS	GP	Min	FGM	FGA	3M	3A	FTM	FTA	OR	TR	AS	ST	TO	BK	PF	DQ	PTS	TC	EJ	FF	Sta
"jefferson,al"	cha	C	73	2557	700	1376	3	15	191	277	156	792	155	67	124	79	176	1	1594	5	0	0	73
"jefferson,richar"	uta	SF	82	2211	294	654	123	301	120	162	18	219	130	57	94	14	169	0	831	2	0	0	78
"jenkins,john"	atl	SG	13	157	16	42	4	18	4	4	3	22	11	1	11	1	11	0	40	0	0	0	0
"jennings,brandon"	det	PG	80	2729	423	1135	154	457	241	321	59	244	609	101	215	8	157	0	1241	12	0	0	79
"jerebko,jonas"	det	PF	64	743	98	208	31	74	43	59	51	175	39	21	43	6	85	0	270	0	0	0	0
"johnson,amir"	tor	PF	77	2214	344	612	20	66	91	143	172	504	115	56	123	88	271	5	799	1	0	0	72
"johnson,chris"	bos	SF	40	790	85	214	43	127	37	43	31	97	32	27	22	4	63	0	250	0	0	0	0
"johnson,james"	mem	PF	52	957	143	308	22	87	76	90	60	166	111	43	66	57	102	1	384	1	0	0	4
"johnson,joe"	bro	SG	79	2574	462	1018	162	404	159	195	48	270	216	47	120	10	129	0	1245	2	0	0	79
"johnson,orlando"	ind	SG	38	342	33	96	8	41	17	22	7	51	16	6	14	1	23	0	91	0	0	0	0
"johnson,orlando"	sac	SG	7	50	3	17	1	6	2	4	2	4	4	0	1	1	3	0	9	0	0	0	0
"johnson,orlando"	tot	SG	45	392	36	113	9	47	19	26	9	55	20	6	15	2	26	0	100	0	0	0	0
"johnson,wesley"	lal	SG	79	2241	277	651	100	271	61	77	70	348	124	86	90	77	207	1	715	0	0	0	62
"johnson-odom,dar"	phi	SG	3	16	0	7	0	3	0	2	0	2	1	1	2	0	3	0	0	0	0	0	0
"jones,james"	mia	SF	20	236	31	68	28	54	7	11	2	23	9	3	4	4	6	0	97	0	0	0	6
"jones,perry"	okl	SF	62	767	83	181	22	61	28	42	28	114	26	14	21	19	62	0	216	0	0	0	7
"jones,solomon"	orl	PF	11	85	6	17	0	0	2	4	8	16	2	2	2	2	12	0	14	0	0	0	0
"jones,terrence"	hou	PF	76	2083	386	713	31	102	118	195	162	528	87	54	71	99	139	0	921	1	0	0	71
"jordan,deandre"	lac	C	82	2872	348	515	0	0	160	374	331	1114	75	80	123	203	264	2	856	7	0	0	82
"joseph,cory"	san	PG	68	941	126	265	12	38	79	96	32	107	114	35	43	14	84	0	343	0	0	0	19
"kaman,chris"	lal	C	39	736	176	346	0	3	52	68	54	229	58	11	74	40	93	1	404	2	0	0	13
"kanter,enes"	uta	C	80	2138	419	853	0	1	149	204	222	598	75	28	144	42	230	1	987	1	0	0	37
"karasev,sergey"	cle	SG	22	156	12	35	4	19	9	10	0	16	6	3	11	1	22	0	37	0	0	0	1
"kelly,ryan"	lal	SF	59	1314	157	371	48	142	110	135	42	219	95	32	47	45	147	0	472	0	0	0	25
"kidd-gilchrist,m"	cha	SF	62	1501	167	353	1	9	113	184	109	324	52	43	60	39	145	1	448	0	0	0	62
"kirilenko,andrei"	bro	SF	45	856	82	160	1	5	61	119	55	146	72	40	54	18	65	0	226	0	0	0	4
"knight,brandon"	mil	PG	72	2407	461	1092	110	338	259	323	46	255	352	69	188	17	146	1	1291	3	0	0	69
"korver,kyle"	atl	SG	71	2413	289	609	185	392	87	94	22	282	208	69	102	24	147	0	850	0	0	0	71
"koufos,kosta"	mem	C	80	1351	227	459	0	0	60	93	160	418	39	32	68	71	182	1	514	3	0	0	22
"kravtsov,viaches"	pho	C	20	62	8	15	0	0	4	8	9	17	1	0	6	1	7	0	20	0	0	0	0
"kuzmic,ognjen"	gsw	C	21	95	5	13	0	0	5	11	10	21	2	3	10	4	17	0	15	0	0	0	0
"lamb,doron"	orl	SG	53	697	63	160	36	90	29	36	8	49	43	11	27	1	54	1	191	0	0	0	0
"lamb,jeremy"	okl	SG	78	1543	263	609	88	247	51	64	27	189	115	56	60	26	143	1	665	0	0	0	0
"landry,carl"	sac	PF	18	233	31	60	0	0	14	17	15	57	5	3	9	1	34	1	76	1	0	0	1
"larkin,shane"	dal	PG	48	494	52	137	12	38	16	25	11	42	71	26	39	1	46	0	132	0	0	0	0
"lawson,ty"	den	PG	62	2221	347	805	72	202	324	406	41	216	543	100	201	10	113	1	1090	0	0	0	61
"ledo,ricky"	dal	SG	11	34	6	17	3	8	4	4	0	2	2	1	2	0	2	0	19	0	0	0	0
"lee,courtney"	bos	SG	30	504	90	183	23	52	18	22	8	48	32	20	25	9	37	1	221	0	0	0	0
"lee,courtney"	mem	SG	49	1470	205	431	49	142	81	90	21	138	83	45	48	19	90	0	540	1	0	0	47
"lee,courtney"	tot	SG	79	1974	295	614	72	194	99	112	29	186	115	65	73	28	127	1	761	1	0	0	47
"lee,david"	gsw	PF	69	2288	513	980	0	1	231	296	183	644	147	48	153	26	206	4	1257	1	0	0	67
"len,alex"	pho	C	42	361	33	78	0	0	20	31	39	99	4	4	26	18	68	0	86	0	0	0	3
"leonard,kawhi"	san	SF	66	1924	337	645	69	182	101	126	76	411	133	114	80	49	127	0	844	0	0	0	65
"leonard,meyers"	por	C	40	356	41	91	0	6	16	21	26	111	18	7	15	5	76	0	98	0	0	0	0
"leuer,jon"	mem	PF	49	643	121	246	23	49	37	47	37	158	20	18	27	13	63	0	302	0	0	0	0
"lewis,rashard"	mia	PF	60	975	98	236	46	134	26	33	24	110	57	53	35	8	90	0	268	1	0	0	6
"liggins,deandre"	mia	SG	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0
"lillard,damian"	por	PG	82	2935	553	1303	218	554	371	426	35	288	455	64	193	22	197	1	1695	3	0	0	82
"lin,jeremy"	hou	PG	71	2054	295	663	82	230	218	265	33	186	294	67	176	27	166	0	890	0	0	0	33
"livingston,shaun"	bro	PG	76	1976	235	487	1	6	158	191	67	246	245	93	105	32	172	1	629	1	0	0	54
"lopez,brook"	bro	C	17	533	129	229	0	1	94	115	39	102	16	9	28	30	52	0	352	0	0	0	17
"lopez,robin"	por	C	82	2611	355	644	0	1	198	242	326	698	73	26	84	139	196	2	908	6	0	0	82
"love,kevin"	min	PF	77	2797	650	1422	190	505	520	633	224	963	343	59	195	35	136	0	2010	3	0	0	77
