team	won	los	t min	fgm	fga	3m	3a	ftm	fta	or	tr	as	st	to	bk	pf	pts	tc	ej	ff
AtlantaHawks	45	37	19865	3115	6733	512	1414	1461	1943	969	3354	1825	615	1079	420	1793	8203	26	0	0
BostonCeltics	16	66	19762	2657	6341	485	1535	1605	2160	899	3189	1539	594	1256	389	1818	7404	41	0	0
CharlotteBobcats	50	32	19895	3115	6684	517	1455	1571	2102	999	3586	1785	626	1132	476	1721	8318	25	0	0
ChicagoBulls	49	33	19818	2982	6583	571	1522	1699	2217	914	3496	1794	648	1201	465	1746	8234	29	0	0
ClevelandCavaliers	37	45	19865	2939	6462	506	1418	1548	2070	814	3314	1721	559	1053	388	1666	7932	14	0	0
DallasMavericks	31	51	19729	2903	6550	408	1168	1648	2168	881	3300	1547	536	948	357	1739	7862	23	0	0
DenverNuggets	32	50	19856	3334	7303	621	1710	1481	2028	1042	3722	2107	644	1282	393	1950	8770	41	0	0
DetroitPistons	23	59	19739	2727	6238	409	1230	1523	2047	865	3209	1563	477	1047	319	1618	7386	27	0	0
GSWarriors	34	48	19785	3273	6998	572	1556	1806	2378	1053	3856	1938	567	1325	413	1736	8924	33	0	0
HoustonRockets	27	55	19728	2852	6594	433	1185	1410	1912	894	3335	1548	622	1061	377	1615	7547	39	0	0
IndianaPacers	46	36	19766	3093	6817	606	1571	1850	2443	929	3729	1820	663	1233	416	1782	8642	14	0	0
LAClippers	59	23	19818	3114	6670	486	1394	1574	2096	915	3571	1834	591	1080	388	1773	8288	16	0	0
LALakers	25	57	19791	3127	7021	554	1531	1501	1995	987	3508	1793	634	1124	367	1850	8309	37	0	0
MemphisGrizzlies	60	22	19807	3394	7076	591	1625	1387	1791	932	3653	1963	711	1055	402	1842	8766	16	0	0
MiamiHeat	67	15	19844	3029	6477	552	1498	1590	2105	917	3533	1817	631	1104	341	1650	8200	8	0	0
MilwaukeeBucks	56	26	19855	3147	6562	588	1530	1639	2141	872	3336	1913	647	1081	404	1727	8521	27	0	0
MinnesotaT-wolves	60	22	19724	3056	6481	541	1515	1742	2266	871	3416	1899	609	1064	468	1434	8395	12	0	0
NJNets	48	34	19833	2982	6542	534	1448	1774	2311	896	3412	1810	662	1050	362	1836	8272	27	0	0
NOrleansHornets	26	56	19818	3038	6603	544	1552	1217	1579	814	3347	1779	470	1089	331	1573	7837	25	0	0
NYKnicks	59	23	19902	3184	6709	587	1592	1535	2078	924	3497	1773	621	1012	430	1665	8490	16	0	0
OrlandoMagic	30	52	19795	3057	6854	516	1441	1489	1975	899	3418	1764	581	1043	344	1898	8119	21	0	0
Philadelphia76ers	42	40	19757	3000	6501	557	1548	1332	1726	921	3214	1903	549	1225	422	1708	7889	20	0	0
PhoenixSuns	27	55	19787	3368	7384	469	1327	1407	1879	1101	3599	1607	601	1050	312	1731	8612	33	0	0
PortlandTrailBlazers	41	41	19905	2983	6617	533	1499	1401	1828	958	3423	1714	488	991	301	1656	7900	41	0	0
SacramentoKings	44	38	19831	3137	6732	597	1598	1722	2287	971	3436	1878	660	1204	452	1892	8593	36	0	0
SanAntonioSpurs	26	56	19748	2857	6431	420	1227	1293	1710	777	3304	1490	566	1009	361	1625	7427	27	0	0
SeattleSupersonics	62	20	19821	3288	7136	607	1575	1534	2048	961	3616	1997	705	1033	439	1609	8717	13	0	0
TorontoRaptors	41	41	19837	3007	6570	619	1683	1344	1732	831	3414	1797	470	1092	330	1508	7977	16	0	0
UtahJazz	28	54	19702	2896	6285	506	1420	1848	2468	843	3099	1629	619	1262	419	1891	8146	18	0	0
WashingtonWizards	39	43	19926	3015	6536	683	1769	1418	1879	900	3378	1958	530	1103	360	1656	8131	22	0	0
