team	won	los	t min	fgm	fga	3m	3a	ftm	fta	or	tr	as	st	to	bk	pf	pts	tc	ej	ff
AtlantaHawks	38	44	19734	3009	6537	459	1358	1380	1782	838	3326	1751	548	976	349	1517	7857	26	0	0
BostonCeltics	26	56	19784	2768	6371	443	1304	1494	1975	862	3249	1533	574	1193	367	1659	7473	45	0	0
CharlotteBobcats	48	34	19828	2956	6492	577	1610	1489	1908	804	3250	1777	601	1028	497	1730	7978	22	0	0
ChicagoBulls	20	62	19839	2805	6523	427	1308	1450	1898	828	3150	1556	568	1098	478	1644	7487	25	0	0
ClevelandCavaliers	63	19	19772	3232	6803	664	1613	1438	1894	894	3568	1984	619	1068	488	1747	8566	23	0	0
DallasMavericks	25	57	19724	2996	6655	508	1480	1373	1830	880	3339	1689	623	1068	304	1650	7873	40	0	0
DenverNuggets	32	50	19728	3153	6876	576	1675	1539	2036	864	3389	1820	611	1077	488	1864	8421	33	0	0
DetroitPistons	52	30	19896	3110	6405	523	1461	1503	1962	866	3336	1910	568	1115	382	1545	8246	22	0	0
GSWarriors	46	36	19834	3173	6789	567	1587	1755	2262	1051	3672	2029	673	1257	352	1512	8668	18	0	0
HoustonRockets	39	43	19898	3266	6979	448	1251	1526	1954	955	3507	1707	587	1092	449	1754	8506	35	0	0
IndianaPacers	45	37	19789	3071	6836	511	1423	1618	2157	931	3549	1670	615	1099	467	1757	8271	41	0	0
LAClippers	50	32	19863	3046	6688	584	1598	1670	2167	914	3324	1827	659	1063	404	1811	8346	39	0	0
LALakers	25	57	19838	3008	6887	558	1667	1246	1628	1002	3401	1827	585	1072	374	1700	7820	37	0	0
MemphisGrizzlies	36	46	19890	2967	6489	587	1593	1482	1948	905	3292	1724	613	1303	505	1754	8003	22	0	0
MiamiHeat	24	58	19800	2869	6611	546	1584	1473	1980	863	3211	1651	574	1018	246	1788	7757	37	0	0
MilwaukeeBucks	47	35	19836	2834	6342	437	1309	1498	1946	836	3465	1657	507	1200	392	1694	7603	26	0	0
MinnesotaT-wolves	65	17	19801	3230	6902	639	1707	1733	2227	913	3489	2031	777	1133	447	1717	8832	25	0	0
NJNets	58	24	20006	3069	6600	507	1391	1589	2115	848	3421	1824	562	963	376	1638	8234	21	0	0
NOrleansHornets	36	46	19841	2882	6306	557	1562	1390	1805	769	3226	1739	497	1125	397	1674	7711	26	0	0
NYKnicks	40	42	19785	3242	6870	536	1442	1650	2165	964	3611	1682	586	1173	361	1703	8670	40	0	0
OrlandoMagic	30	52	19831	2865	6569	516	1476	1441	1940	805	3254	1646	606	1058	310	1791	7687	35	0	0
Philadelphia76ers	41	41	19934	2996	6638	468	1375	1536	1987	881	3490	1763	583	1109	376	1544	7996	23	0	0
PhoenixSuns	42	40	20011	3309	7018	585	1595	1481	1964	985	3632	1890	644	1131	357	1740	8684	35	0	0
PortlandTrailBlazers	34	48	19812	2904	6219	529	1440	1434	1869	868	3253	1573	566	1236	339	1743	7771	38	0	0
SacramentoKings	58	24	19860	3260	6826	480	1353	1589	2085	868	3378	1779	666	1154	464	1723	8589	30	0	0
SanAntonioSpurs	21	61	19790	3127	6859	479	1304	1301	1698	883	3377	1685	567	1062	374	1701	8034	33	0	0
OklahomaCityThunder	27	55	20017	3123	6823	482	1335	1557	2093	932	3327	1712	587	1093	356	1767	8285	34	0	0
TorontoRaptors	60	22	19795	3213	6668	541	1438	1672	2175	912	3369	1854	625	1097	456	1620	8639	19	0	0
UtahJazz	43	39	19885	2967	6460	592	1573	1777	2285	926	3351	1700	609	1142	411	1802	8303	26	0	0
WashingtonWizards	59	23	19931	3174	6741	560	1500	1676	2202	994	3601	1898	624	1229	414	1662	8584	31	0	0
